station_observations,,,,,,,,
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STORM_SNOW, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, MAXIMUM_AIR_TEMPERATURE, time, PRECIPITATION_NEW, HEIGHT_OF_SNOW
1, None, None,0,-1,9, 1990-12-18 06:20:00,0,0
-4, None, None,12,-4,3, 1990-12-18 18:30:00,0,12
-6.5, None, None,0,-6.5,-3.5, 1990-12-19 06:45:00,0,12
-6, None, None,0,-6.5,-5.5, 1990-12-19 16:40:00,0,12
-5, None, None,0,-9,-5, 1990-12-20 11:00:00, None,12
-5, None, None, None,-9,-2, 1990-12-20 16:00:00, None,10
-9, None, None, None,-9,-5, 1990-12-21 06:45:00, None,10
-1, None, None, None,-11,-1, 1990-12-21 16:00:00, None,8
-3, None, None,1,-9,-1, 1990-12-22 07:00:00, None,8
-3.5, None, None,2,-5,-1, 1990-12-22 16:45:00, None,10
-3, None, None,0,-5,-1, 1990-12-23 07:40:00,0,10
-3, None, None,2,-5,-1, 1990-12-23 15:55:00,0,12
-2, None, None, None,-3,0, 1990-12-24 06:30:00, None,7
0, None, None, None,-3,4, 1990-12-24 16:00:00, None,8
0, None, None,1,-3,1, 1990-12-25 07:00:00, None,8
1, None, None,0,0,1, 1990-12-25 15:30:00, None,7
2, None, None, None,-2,2, 1990-12-26 08:00:00, None,5
4, None, None,0,2,6, 1990-12-26 16:40:00, None,5
3, None, None, None,1,7, 1990-12-27 06:30:00,8,0
4, None, None, None,1,7, 1990-12-27 16:30:00, None,0
-2, None, None,3,-7,6, 1990-12-28 06:15:00, None,3
-8, None, None, None,-8,-2, 1990-12-28 16:30:00, None,3
-11, None, None,0,-11,-7, 1990-12-29 07:00:00, None,3
-5, None, None,0,-11,-5, 1990-12-29 16:30:00, None,3
-4, None, None,3,-5,-4, 1990-12-30 06:45:00, None,5
1, None, None,3,-4,2, 1990-12-30 16:15:00, None,8
6, None, None, None,1,6, 1990-12-31 07:00:00,8,0
7, None, None, None,6,7, 1990-12-31 16:00:00, None, None
-0.5, None, None,0,-0.5,0, 1991-01-01 07:20:00, None,0
0, None, None, None,-0.5,0, 1991-01-01 16:00:00, None, None
8, None, None,0,0,8, 1991-01-02 07:00:00, None,0
3, None, None,0,1,8, 1991-01-02 16:30:00, None,0
1.5, None, None,0,1.5,3, 1991-01-03 07:00:00, None,0
4, None, None,0,1,4, 1991-01-03 15:30:00,0,0
-2, None, None,0,-2,4, 1991-01-04 07:00:00,0,0
1, None, None,0,-3,1, 1991-01-04 16:00:00,0,0
-5, None, None,0,-6,2, 1991-01-05 08:00:00,0,0
-1, None, None,0,-8,1, 1991-01-05 15:30:00,0,0
-2, None, None,0,-3,-1, 1991-01-06 07:30:00,0,0
-2, None, None,2,-2,0, 1991-01-06 16:30:00, None,2
-0.5, None, None,5,-2,-0.5, 1991-01-07 05:30:00, None,5
1, None, None,5,-1,1, 1991-01-07 16:00:00, None,8
1, None, None,2,-1,1, 1991-01-08 06:15:00,1,8
0, None, None,10,0,1, 1991-01-08 16:15:00, None,18
1, None, None,0,0,1, 1991-01-09 06:30:00,4,15
2, None, None,0,1,2, 1991-01-09 16:30:00,7,8
2, None, None, None,1,3, 1991-01-10 06:30:00,8,5
4, None, None,0,2,5, 1991-01-10 16:00:00,0,3
4, None, None,0,1,4, 1991-01-11 06:05:00,7,0
5.5, None, None,0,4,5.5, 1991-01-11 15:50:00,9,0
5, None, None,0,2,5.5, 1991-01-12 07:30:00,17,0
9, None, None,0,4.5,11, 1991-01-12 16:00:00,5,0
8, None, None,0,5,9, 1991-01-13 07:30:00,16,0
8, None, None,0,7,9, 1991-01-13 16:00:00,12,0
7, None, None,0,6,9, 1991-01-14 06:15:00,5,0
10, None, None,0,6,10, 1991-01-14 15:30:00,4,0
6, None, None,0,6,10, 1991-01-15 06:30:00,8,0
9, None, None,0,6,10, 1991-01-15 15:35:00,0,0
5.5, None, None,0,5,9, 1991-01-16 06:30:00,0,0
6.5, None, None,0,5.5,6.5, 1991-01-16 16:00:00,1,0
6.5, None, None,0,6.5,6.5, 1991-01-17 06:15:00,3,0
8, None, None,0,6.5,8, 1991-01-17 15:30:00,1,0
7, None, None,0,7,8, 1991-01-18 06:30:00,4,0
10, None, None,0,6,11, 1991-01-18 15:30:00,0,0
-1, None, None,0,-1,10, 1991-01-19 07:10:00,0,0
8.5, None, None,0,-1,9, 1991-01-19 16:50:00,0,0
-4, None, None,0,-4,8.5, 1991-01-20 07:30:00,0,0
7, None, None,0,-4,8.5, 1991-01-20 15:35:00,0,0
-2, None, None,0,-2,7, 1991-01-21 06:15:00,0,0
6, None, None,0,-2,9, 1991-01-21 15:45:00,0,0
0, None, None,0,-2,6, 1991-01-22 06:15:00,0,0
4.5, None, None,0,0,4.5, 1991-01-22 16:10:00,0,0
3, None, None,0,3,4.5, 1991-01-23 06:15:00,1,0
4, None, None,0,3,5, 1991-01-23 16:00:00,0,0
2.5, None, None,0,0,5, 1991-01-24 06:20:00,0,0
6, None, None,0,0,6, 1991-01-24 15:30:00,0,0
2, None, None,0,-2,6, 1991-01-25 06:45:00,0,0
5.5, None, None,0,2,5.5, 1991-01-25 15:45:00,0,0
-3, None, None,0,-3,5.5, 1991-01-26 08:00:00, None,0
5, None, None,0,-3,8, 1991-01-26 16:00:00,0,0
-2, None, None,0,-4.5,5, 1991-01-27 07:30:00,0,0
2, None, None,0,-4,2, 1991-01-27 15:45:00,1,0
0, None, None,0,0,3, 1991-01-28 06:30:00,0,0
4, None, None,0,-1,5, 1991-01-28 15:30:00,0,0
-5, None, None,0,-5,5, 1991-01-29 06:20:00,0,0
1, None, None,0,-5,1, 1991-01-29 15:30:00,0,0
-1, None, None,0,-1,1, 1991-01-30 06:30:00,0,0
4, None, None,0,-1,4, 1991-01-30 15:45:00,0,0
3.5, None, None,0,-4,4, 1991-01-31 06:30:00,3,0
9, None, None,0,3.5,9, 1991-01-31 16:15:00,2,0
7, None, None,0,3,9, 1991-02-01 06:20:00,5,0
10, None, None,0,6,13, 1991-02-01 15:45:00,5,0
8, None, None,0,7,13, 1991-02-02 06:30:00,23,0
11, None, None,0,8,14, 1991-02-02 15:25:00,4,0
6, None, None,0,3,12, 1991-02-03 07:10:00,0,0
9, None, None,0,3,11, 1991-02-03 15:35:00,8,0
9, None, None,0,7,10, 1991-02-04 06:20:00,9,0
10, None, None,0,9,12, 1991-02-04 16:00:00,4,0
6, None, None,0,5,11, 1991-02-05 05:40:00,12,0
9, None, None,0,4,12, 1991-02-05 15:45:00,0,0
3, None, None,0,1,9, 1991-02-06 06:30:00,0,0
10, None, None,0,3,11, 1991-02-06 15:45:00,0,0
6, None, None,0,6,10.5, 1991-02-07 06:15:00,1,0
8, None, None,0,6,10, 1991-02-07 16:30:00,1,0
7.5, None, None,0,6,9, 1991-02-08 06:15:00,10,0
11, None, None,0,7.5,11, 1991-02-08 15:50:00,0,0
5, None, None,0,3,11, 1991-02-09 07:00:00,0,0
11, None, None,0,5,13, 1991-02-09 15:10:00,0,0
5, None, None,0,4,11, 1991-02-10 08:00:00,0,0
11, None, None,0,4,11, 1991-02-10 16:00:00,0,0
5, None, None,0,4,11, 1991-02-11 06:15:00,0,0
10, None, None,0,4,10, 1991-02-11 15:20:00,0,0
8, None, None,0,8,10, 1991-02-12 06:25:00,5,0
10,0, None,0,8,10, 1991-02-12 15:30:00,0,0
8, None, None,0,8,10, 1991-02-13 06:20:00,0,0
8, None, None,0,7,8, 1991-02-13 16:00:00,5,0
8, None, None,0,7.5,8, 1991-02-14 06:15:00,2,0
11.5, None, None,0,8,11.5, 1991-02-14 15:45:00,0,0
11, None, None,0,-10,11.5, 1991-02-15 06:25:00,0,0
10, None, None,0,9,14, 1991-02-15 18:00:00,0,0
5, None, None,0,2,10, 1991-02-16 07:35:00,0,0
8, None, None,0,5,9, 1991-02-16 16:45:00,0,0
6, None, None,0,5,9, 1991-02-17 07:40:00,0,0
7.5, None, None,0,6,9, 1991-02-17 15:30:00,0,0
4.5, None, None,0,3.5,8, 1991-02-18 06:15:00,0,0
6, None, None,0,4,6, 1991-02-18 16:20:00,6,0
9.5, None, None,0,6,10, 1991-02-19 06:30:00,49,0
11, None, None,0,9,11, 1991-02-19 15:35:00,3,0
7, None, None,0,7,11, 1991-02-20 06:30:00,3,0
9, None, None,0,6,9, 1991-02-20 15:45:00,0,0
2, None, None,0,1,9, 1991-02-21 06:30:00,0,0
8, None, None,0,1,9, 1991-02-21 15:30:00,0,0
4, None, None,0,3,9, 1991-02-22 07:30:00,0,0
9, None, None,0,3,12, 1991-02-22 15:40:00,0,0
0, None, None,0,-1,9, 1991-02-23 07:30:00,0,0
11, None, None,0,0,12, 1991-02-23 15:30:00,0,0
0, None, None,0,-1,11, 1991-02-24 07:30:00,0,0
12, None, None,0,0,13, 1991-02-24 15:30:00, None,0
3, None, None,0,-0.5,14, 1991-02-25 06:20:00,0,0
15, None, None,0,2.5,16, 1991-02-25 15:30:00,0,0
2.5, None, None,0,2,15, 1991-02-26 06:30:00,0,0
16, None, None,0,2,17, 1991-02-26 15:35:00,0,0
4, None, None,0,2,16, 1991-02-27 05:05:00,0,0
18, None, None,0,2,19, 1991-02-27 15:35:00,0,0
2.5, None, None,0,1,18, 1991-02-28 06:20:00,0,0
9, None, None,0,2.5,12, 1991-02-28 16:20:00,0,0
2, None, None,0,1,9, 1991-03-01 05:35:00,0,0
0, None, None,4,-1,2, 1991-03-01 15:45:00, None,4
1, None, None,0,0,1, 1991-03-02 05:10:00,5,4
7, None, None,0,-1,8, 1991-03-02 15:30:00,5,0
6, None, None,0,5,8, 1991-03-03 07:30:00,6,0
7, None, None,0,6,8, 1991-03-03 16:00:00,6,0
-1, None, None,0,-1,7, 1991-03-04 06:20:00,0,0
3, None, None,0,-1,7, 1991-03-04 16:20:00,0,0
-3, None, None,0,-3,3, 1991-03-05 06:20:00,0,0
6, None, None,0,-3,7, 1991-03-05 15:25:00,0,0
3.5, None, None,0,2.5,6, 1991-03-06 06:30:00,3,0
6, None, None,0,3,7, 1991-03-06 15:30:00,0,0
2, None, None,0,1,7, 1991-03-07 06:00:00,0,0
9, None, None,0,2,10, 1991-03-07 15:35:00,0,0
4, None, None,0,2,9, 1991-03-08 06:20:00,0,0
9, None, None,0,4,10.5, 1991-03-08 15:35:00,0,0
4, None, None,0,3.5,10.5, 1991-03-09 07:30:00,0,0
6, None, None,0,3,9, 1991-03-09 17:00:00,0,0
1.5, None, None,0,1,9, 1991-03-10 07:25:00,0,0
7, None, None,0,1,9, 1991-03-10 16:30:00,0,0
0, None, None,0,0,8, 1991-03-11 06:20:00,0,0
4.5, None, None,0,0,6, 1991-03-11 16:30:00,0,0
4.5, None, None,0,3,5, 1991-03-12 06:30:00,2,0
6, None, None,0,4.5,8, 1991-03-12 16:20:00,3,0
4.5, None, None,0,4,7, 1991-03-13 06:20:00,0,0
8, None, None,0,4.5,10, 1991-03-13 16:20:00,0,0
4, None, None,0,4,8, 1991-03-14 06:20:00,0,0
7, None, None,0,4,7.5, 1991-03-14 16:45:00,1,0
-1, None, None,0,-1,7, 1991-03-15 06:20:00,0,0
7.5, None, None,0,-1,11, 1991-03-15 16:30:00,0,0
7, None, None,0,5,8, 1991-03-16 07:30:00,0,0
12, None, None,0,4,13, 1991-03-16 15:45:00,0,0
1, None, None,0,-1,13, 1991-03-17 07:30:00,0,0
12, None, None,0,1,13, 1991-03-17 15:45:00,0,0
0, None, None,0,-0.5,12, 1991-03-18 06:20:00,0,0
11, None, None,0,0,15, 1991-03-18 15:40:00,0,0
6, None, None,0,0,15, 1991-03-19 06:30:00,6,0
12, None, None,0,6,13, 1991-03-19 16:30:00,0,0
5, None, None,0,4.5,12, 1991-03-20 06:30:00,0,0
12, None, None,0,4.5,15, 1991-03-20 16:15:00,0,0
6, None, None,0,3,12, 1991-03-21 06:30:00,1,0
8, None, None,0,5.5,10, 1991-03-21 16:00:00,6,0
2, None, None,0,2,8, 1991-03-22 06:40:00,0,0
7, None, None,0,2,10, 1991-03-22 15:30:00,0,0
5, None, None,0,5,8, 1991-03-23 07:30:00,0,0
9, None, None,0,4,9, 1991-03-23 15:45:00,0,0
6, None, None,0,6,9, 1991-03-24 07:30:00,0,0
10, None, None,0,6,12, 1991-03-24 17:30:00, None,0
3, None, None,0,0.5,11, 1991-03-25 06:20:00,2,0
9.5, None, None,0,3,10, 1991-03-25 16:15:00,0,0
3.5, None, None,0,3.5,9.5, 1991-03-26 16:30:00,0,0
10, None, None,0,3.5,12, 1991-03-26 17:00:00,0,0
-1.5, None, None,0,-1.5,10, 1991-03-27 06:20:00,0,0
10, None, None,0,-1.5,13, 1991-03-27 17:25:00,0,0
6, None, None,0,5.5,10, 1991-03-28 06:20:00,0,0
9, None, None,0,6,11, 1991-03-28 15:45:00,0,0
7, None, None,0,6.5,9, 1991-03-29 07:15:00,0,0
9, None, None,0,6.5,9, 1991-03-29 16:45:00,0,0
5, None, None,0,4,9, 1991-03-30 07:30:00,0,0
15, None, None,0,5,17, 1991-03-30 16:00:00,0,0
6, None, None,0,5,15, 1991-03-31 07:30:00,0,0
11, None, None,0,6,14, 1991-03-31 15:45:00,0,0
8, None, None,0,8,11, 1991-04-01 07:15:00,1,0
11, None, None,0,8,11, 1991-04-01 16:20:00,0,0
6.5, None, None,0,6.5,11, 1991-04-02 06:20:00,1,0
8, None, None,0,6.5,11, 1991-04-02 16:20:00,1,0
7, None, None,0,5,9, 1991-04-03 06:10:00,0,0
8, None, None,0,6,8, 1991-04-03 16:30:00,33,0
6, None, None,0,6,8, 1991-04-04 06:30:00,47,0
8, None, None,0,6,9, 1991-04-04 16:40:00,7,0
6, None, None,0,6,8, 1991-04-05 06:05:00,9,0
9.5, None, None,0,6,10, 1991-04-05 16:00:00,5,0
6, None, None,0,4,9.5, 1991-04-06 07:30:00,0,0
10, None, None,0,6,11, 1991-04-06 15:30:00,0,0
5, None, None,0,4,10, 1991-04-07 07:30:00,2,0
8, None, None,0,4,11, 1991-04-07 16:00:00,0,0
4, None, None,0,3,10, 1991-04-08 06:15:00,0,0
8, None, None,0,4,9, 1991-04-08 16:25:00,0,0
5, None, None,0,5,8, 1991-04-09 06:15:00,9,0
9, None, None,0,5,10, 1991-04-09 16:30:00,1,0
3, None, None,0,2.5,9, 1991-04-10 06:15:00,0,0
9, None, None,0,2.5,12, 1991-04-10 16:30:00,0,0
-0.5, None, None,0,-0.5,11, 1991-04-11 06:30:00,0,0
15, None, None,0,-0.5,15, 1991-04-11 16:45:00,0,0
0, None, None,0,0,15, 1991-04-12 06:30:00,0,0
16, None, None,0,0,16, 1991-04-12 16:00:00,0,0
5, None, None,0,4,16, 1991-04-13 07:30:00,0,0
16, None, None,0,5,16.5, 1991-04-13 16:00:00,0,0
8, None, None,0,8,16, 1991-04-14 07:30:00,0,0
13, None, None,0,8,15, 1991-04-14 15:50:00,0,0
5, None, None,0,5,13, 1991-04-15 06:15:00,0,0
17, None, None,0,4.5,17, 1991-04-15 16:00:00,0,0
4, None, None,0,4,17, 1991-04-16 06:20:00,0,0
20, None, None,0,3.5,21, 1991-04-16 16:30:00,0,0
5.5, None, None,0,5.5,20, 1991-04-17 06:20:00,0,0
17.5, None, None,0,5.5,17.5, 1991-04-17 16:20:00,0,0
7, None, None,0,5,17.5, 1991-04-18 06:30:00, None,0
17, None, None,0,7,17, 1991-04-18 16:40:00,0,0
4.5, None, None,0,4.5,17, 1991-04-19 06:50:00,0,0
19.5, None, None,0,4.5,19.5, 1991-04-19 16:20:00,0,0
6, None, None,0,5,20, 1991-04-20 07:30:00,0,0
22, None, None,0,6,22, 1991-04-20 16:00:00,0,0
9, None, None,0,6,22, 1991-04-21 07:30:00,0,0
18, None, None,0,9,18, 1991-04-21 16:00:00,0,0
8, None, None,0,8,18, 1991-04-22 06:30:00,0,0
14, None, None,0,8,15, 1991-04-22 16:00:00,0,0
6, None, None,0,5,14, 1991-04-23 06:15:00,0,0
11, None, None,0,6,11, 1991-04-23 16:15:00,1,0
6, None, None,0,6,11, 1991-04-24 06:20:00,0,0
10, None, None,0,6,11, 1991-04-24 16:00:00,1,0
3, None, None,0,1.5,11, 1991-04-25 07:30:00,0,0
11, None, None,0,3,11, 1991-04-25 16:00:00,0,0
2, None, None,0,2,11, 1991-04-26 06:40:00,0,0
13, None, None,0,1,13, 1991-04-26 15:45:00,0,0
6, None, None,0,5,14, 1991-04-27 07:30:00,0,0
13, None, None,0,6,13.5, 1991-04-27 15:50:00,0,0
6, None, None,0,6,13, 1991-04-28 05:30:00,0,0
11, None, None,0,6,11, 1991-04-28 16:00:00,15,0
3.5, None, None,0,3.5,11, 1991-04-29 06:20:00,0,0
14.5, None, None,0,3.5,14.5, 1991-04-29 16:00:00,0,0
4, None, None,0,4,14.5, 1991-04-30 06:30:00,0,0
21, None, None,0,4,22, 1991-04-30 16:00:00,0,0
9, None, None,0,8, None, 1991-09-30 06:30:00,0,0
21, None, None,0,8,21, 1991-09-30 16:00:00,0,0
9, None, None,0,9,21, 1991-10-01 06:30:00,0,0
19, None, None,0,9,21, 1991-10-01 16:00:00, None,0
7, None, None,0,7,19, 1991-10-02 07:00:00, None,0
17, None, None,0,7,18, 1991-10-02 16:00:00, None,0
5, None, None,0,5,17, 1991-10-03 06:30:00, None,0
18, None, None,0,5,19, 1991-10-03 16:30:00, None,0
5, None, None,0,5,19, 1991-10-04 06:30:00, None,0
19, None, None,0,5,20, 1991-10-04 16:15:00, None,0
6, None, None,0,6,19, 1991-10-05 07:30:00, None,0
19, None, None,0,6,21, 1991-10-05 16:00:00, None,0
9, None, None,0,7,19, 1991-10-06 07:30:00, None,0
18, None, None,0,7,18, 1991-10-06 16:00:00, None,0
9, None, None,0,7,9, 1991-10-07 06:20:00, None,0
18, None, None,0,9,18, 1991-10-07 16:00:00, None,0
5.5, None, None,0,5,18, 1991-10-08 06:30:00, None,0
17, None, None,0,5.5,17, 1991-10-08 16:30:00, None,0
5.5, None, None,0,5,17, 1991-10-09 06:30:00, None,0
21, None, None,0,5,22, 1991-10-09 16:00:00, None,0
9, None, None,0,5,22, 1991-10-10 06:15:00, None,0
23, None, None,0,9,27, 1991-10-10 17:00:00, None,0
7, None, None,0,7,23, 1991-10-11 06:00:00, None,0
22, None, None,0,7,25, 1991-10-11 18:00:00, None,0
10, None, None,0,9,22, 1991-10-12 07:30:00, None,0
18, None, None,0,10,19, 1991-10-12 16:30:00, None,0
6, None, None,0,6,17, 1991-10-13 07:30:00, None,0
19, None, None,0,6,19, 1991-10-13 16:00:00, None,0
11, None, None,0,7,19, 1991-10-14 07:30:00, None,0
22, None, None,0,9,22, 1991-10-14 16:00:00, None,0
7.5, None, None,0,7.5,22.5, 1991-10-15 06:10:00, None,0
17, None, None,0,7.5,21, 1991-10-15 17:00:00,0,0
7, None, None,0,5,20, 1991-10-16 06:30:00,6,0
11, None, None,0,8,13, 1991-10-16 16:30:00,1,0
1.5, None, None,0,1.5,11, 1991-10-17 06:20:00, None,0
11.5, None, None,0,1.5,14.5, 1991-10-17 16:00:00, None,0
6.5, None, None,0,5,11, 1991-10-18 06:30:00, None,0
12, None, None, None,4,12, 1991-10-18 16:00:00, None, None
11, None, None,0,7,13, 1991-10-19 07:30:00, None,0
15, None, None,0,10,15, 1991-10-19 16:00:00, None,0
10, None, None,0,8,15, 1991-10-20 07:30:00, None,0
12, None, None,0,10,12, 1991-10-20 16:00:00, None,0
9, None, None,0,9,10, 1991-10-21 06:30:00,0,0
11, None, None,0,9,12, 1991-10-21 16:30:00,0,0
7, None, None,0,7,12, 1991-10-22 06:00:00, None,0
10, None, None,0,6.5,10, 1991-10-22 16:30:00,10,0
0, None, None,0,0,10, 1991-10-23 06:00:00, None,0
9.5, None, None,0,0,10, 1991-10-23 16:00:00,5,0
6, None, None,0,6,9.5, 1991-10-24 06:15:00,5,0
10, None, None,0,6,10, 1991-10-24 16:00:00,0,0
3, None, None,0,2,10, 1991-10-25 07:10:00,0,0
8, None, None,0,2,11, 1991-10-25 16:00:00,0,0
5, None, None,0,2,10, 1991-10-26 07:30:00, None,0
10, None, None,0,4,10, 1991-10-26 16:00:00, None,0
4, None, None,0,1,10, 1991-10-27 07:30:00, None,0
7, None, None,0,4,8, 1991-10-27 16:00:00, None,0
2, None, None,0,-1,3, 1991-10-28 06:30:00, None,0
1, None, None,2,0.5,3, 1991-10-28 16:00:00, None,1
-1, None, None,0,-2,2, 1991-10-29 06:15:00, None,0
6.5, None, None,0,-2,7, 1991-10-29 16:00:00, None,0
0, None, None,0,-1,7, 1991-10-30 07:00:00, None,0
7.5, None, None,0,0,7.5, 1991-10-30 16:40:00, None,0
5, None, None,0,5,7.5, 1991-10-31 06:15:00,2,0
6, None, None,0,5,6, 1991-10-31 16:00:00,10,0
5, None, None,0,2,6, 1991-11-01 06:30:00,1,0
7, None, None,0,5,8, 1991-11-01 16:00:00,0,0
4, None, None,0,4,8, 1991-11-02 07:30:00,0,0
8, None, None,0,4,10, 1991-11-02 16:00:00, None,0
4, None, None,0,4,8, 1991-11-03 07:30:00, None,0
6, None, None,0,3,8, 1991-11-03 17:00:00,1,0
7, None, None,0,5,7, 1991-11-04 06:30:00,13,0
10.5, None, None,0,7,11.5, 1991-11-04 16:30:00,0,0
10, None, None,0,10,11, 1991-11-05 06:15:00,14,0
12, None, None,0,11,12, 1991-11-05 15:50:00,2,0
6, None, None,0,4.5,11, 1991-11-06 06:10:00,0,0
8, None, None,0,5,13, 1991-11-06 16:30:00,0,0
8, None, None,0,6,8, 1991-11-07 06:40:00,3,0
10, None, None,0,8.5,10, 1991-11-07 15:45:00,2,0
9.5, None, None,0,8.5,9.5, 1991-11-08 06:20:00,1,0
12, None, None,0,9,15, 1991-11-08 16:00:00,0,0
6.5, None, None,0,4,12, 1991-11-09 07:00:00,0,0
10, None, None,0,6,11, 1991-11-09 16:30:00,0,0
8, None, None,0,6,10, 1991-11-10 08:00:00,2,0
10, None, None,0,7,10, 1991-11-10 15:15:00, None,0
14, None, None,0,10,14, 1991-11-11 16:00:00,12,0
10, None, None,0,9,11, 1991-11-11 17:30:00,16,0
6, None, None,0,5.5,9, 1991-11-12 06:00:00,0,0
9, None, None,0,6,13, 1991-11-12 16:00:00,5,0
7, None, None,0,6,11, 1991-11-13 06:15:00,4,0
7, None, None,0,6,8, 1991-11-13 16:05:00,6,0
1.5, None, None,0,1.5,7, 1991-11-14 06:15:00,0,0
8, None, None,0,1.5,11, 1991-11-14 16:45:00,0,0
5, None, None,0,1,8, 1991-11-15 06:15:00,0,0
7, None, None,0,5,7, 1991-11-15 16:30:00,0,0
7, None, None,0,7,8, 1991-11-16 07:30:00,2,0
11, None, None,0,6,14, 1991-11-16 16:35:00,2,0
8, None, None,0,7,10, 1991-11-17 07:30:00,21,0
8, None, None,0,7,9, 1991-11-17 15:45:00,3,0
5, None, None,0,5,9, 1991-11-18 06:15:00,5,0
8, None, None,0,4,11.5, 1991-11-18 16:30:00,0,0
9, None, None,0,7,9, 1991-11-19 06:15:00,5,0
8, None, None,0,7,9.5, 1991-11-19 16:00:00,28,0
7, None, None,0,7,10, 1991-11-20 06:20:00,17,0
7, None, None,0,6,9, 1991-11-20 16:15:00,1,0
2, None, None,0,1,7, 1991-11-21 06:30:00,1,0
7.5, None, None,0,1,11, 1991-11-21 16:00:00,0,0
6, None, None,0,4,7.5, 1991-11-22 06:30:00,0,0
6, None, None,0,5,10, 1991-11-22 16:30:00,0,0
6.5, None, None,0,5,6.5, 1991-11-23 05:30:00, None,0
7, None, None,0,6,7, 1991-11-23 15:40:00,0,0
8, None, None,0,6,8, 1991-11-24 06:00:00,2,0
9.5, None, None,0,8,10, 1991-11-24 15:40:00,6,0
8, None, None,0,8,9, 1991-11-25 05:30:00,16,0
11, None, None,0,6,12, 1991-11-25 15:30:00,0,0
7.5, None, None,0,5,10, 1991-11-26 05:30:00,1,0
8, None, None,0,6,10, 1991-11-26 16:15:00,1,0
2, None, None,0,2,8, 1991-11-27 06:15:00,4,0
7, None, None,0,1,10, 1991-11-27 16:30:00,0,0
8, None, None,0,1,8, 1991-11-28 06:30:00,0,0
8, None, None,0,7,11, 1991-11-28 16:15:00,0,0
-2, None, None,0,-2,8, 1991-11-29 06:15:00,0,0
8, None, None,0,-2,9, 1991-11-29 16:00:00,0,0
3, None, None,0,0.5,7, 1991-11-30 07:00:00,0,0
6, None, None,0,0,6, 1991-11-30 15:00:00,0,0
8, None, None,0,5,8.5, 1991-12-01 07:30:00,0,0
8, None, None,0,5,8, 1991-12-01 15:30:00,4,0
4, None, None,0,4,10, 1991-12-02 06:15:00,0,0
8, None, None,0,3,10, 1991-12-02 16:15:00,0,0
8, None, None,0,8,9, 1991-12-03 06:15:00,1,0
9, None, None,0,7.5,9, 1991-12-03 16:00:00,2,0
8, None, None,0,8,9, 1991-12-04 06:30:00,7,0
9, None, None,0,8,11, 1991-12-04 16:00:00,0,0
8, None, None,0,7,9, 1991-12-05 06:30:00,6,0
10, None, None,0,8,11, 1991-12-05 16:15:00,25,0
7, None, None,0,6.5,11, 1991-12-06 06:39:00,5,0
7.5, None, None,0,7,9, 1991-12-06 16:20:00,8,0
5, None, None,0,4,7.5, 1991-12-07 06:30:00,3,0
7.5, None, None,0,5,8, 1991-12-07 15:30:00,2,0
7, None, None,0,6,9, 1991-12-08 07:00:00,5,0
9, None, None,0,7,10, 1991-12-08 15:45:00,0,0
6.5, None, None,0,6.5,10, 1991-12-09 06:00:00,18,0
9, None, None,0,7,9, 1991-12-09 15:50:00,2,0
3, None, None,0,1.5,9, 1991-12-10 06:15:00,0,0
7, None, None,0,3,7, 1991-12-10 16:00:00,2,0
8, None, None,0,5,9, 1991-12-11 06:00:00,25,0
8, None, None,0,8,10, 1991-12-11 15:50:00,0,0
7, None, None,0,5,8, 1991-12-12 06:20:00,12,0
8, None, None,0,7,9, 1991-12-12 15:40:00,3,0
0, None, None,0,0,1, 1991-12-13 06:30:00,0,0
4, None, None,0,-1.5,5, 1991-12-13 16:00:00,0,0
1, None, None,0,1,1, 1991-12-14 06:45:00,0,0
1, None, None,0,-1,6, 1991-12-14 17:30:00,0,0
-2, None, None,0,-2,4.5, 1991-12-15 07:30:00,0,0
4.5, None, None,0,-2,5.5, 1991-12-15 15:30:00,0,0
-0.5, None, None,0,-0.5,5, 1991-12-16 06:30:00,0,0
5, None, None,0,-1,7, 1991-12-16 15:30:00,0,0
1, None, None,0,-0.5,5, 1991-12-17 06:00:00,0,0
5.5, None, None,0,1,6.5, 1991-12-17 15:30:00,0,0
7, None, None,0,3,7, 1991-12-18 06:30:00,1,0
6, None, None,0,5.5,7, 1991-12-18 16:00:00,2,0
0, None, None,0,0,7, 1991-12-19 06:30:00,0,0
6, None, None,0,0,9, 1991-12-19 15:45:00,0,0
5, None, None,0,2.5,8.5, 1991-12-20 06:30:00,0,0
7, None, None,0,5,7, 1991-12-20 15:55:00,0,0
6, None, None,0,4,8.5, 1991-12-21 07:00:00,4,0
4, None, None,0,4,7, 1991-12-21 15:40:00,0,0
6,0, None,0,3.5,7, 1991-12-22 03:35:00,0,0
4, None, None,0,2,7.5, 1991-12-22 07:50:00,0,0
4, None, None,0,1,7, 1991-12-23 06:45:00,0,0
6, None, None,0,4,7, 1991-12-23 15:30:00,0,0
5, None, None,0,4,6, 1991-12-24 06:50:00,0,0
8, None, None,0,5,9, 1991-12-24 15:30:00,1,0
6.5, None, None,0,5,9, 1991-12-25 07:30:00, None,0
9, None, None,0,5,9, 1991-12-25 15:45:00,0,0
9, None, None,0,9,9.5, 1991-12-26 07:30:00,0,0
8, None, None,0,7,10, 1991-12-26 17:40:00,1,0
5, None, None,0,5,10, 1991-12-27 07:00:00,2,0
